batch_size,relative_time_s,power_total_W
32,181.20000000000002,1938.4794643621383
32,181.3,2034.4360370559336
32,181.4,1844.3673889924999
32,181.5,1723.8221389836083
32,181.60000000000002,1737.0760977741636
32,181.70000000000002,1816.3392047081254
32,181.8,1801.9238299574345
32,181.9,1832.3599227714792
32,182.0,1776.865377066837
32,182.10000000000002,1736.080508755658
32,182.20000000000002,1732.2266505533046
32,182.3,1743.8099167421265
32,182.4,1814.373345478986
32,182.5,2006.5123663745242
32,182.60000000000002,1839.1308823844265
32,182.70000000000002,1738.7075003602965
32,182.8,1831.6588468749922
32,182.9,1775.052315812191
32,183.0,1721.376469696753
32,183.10000000000002,1729.6357801704764
32,183.20000000000002,1736.6705238568645
32,183.3,1758.2698782547193
32,183.4,1744.710053986702
32,183.5,1731.6270615836265
32,183.60000000000002,1715.7869577350023
32,183.70000000000002,1692.0023024634304
32,183.8,1855.1621814427676
32,183.9,1793.9538768756267
32,184.0,1752.3035087182946
32,184.10000000000002,1793.4166599320738
32,184.20000000000002,1769.1590599650583
32,184.3,1774.4044498902726
32,184.4,1889.7209924295587
32,184.5,1796.112256303332
32,184.60000000000002,1939.3275181124404
32,184.70000000000002,1898.2420898890384
32,184.8,1775.5978105687968
32,184.9,1745.4906948901487
32,185.0,1797.0848794296498
32,185.10000000000002,1811.140711521273
32,185.20000000000002,1729.143368332492
32,185.3,1719.1086934215339
32,185.4,1714.8380958309888
32,185.5,1732.1911598152844
32,185.60000000000002,1720.4520920363345
32,185.70000000000002,1705.8740236370304
32,185.8,1715.3030323747178
32,185.9,1711.0076192814943
32,186.0,1772.2876282165232
32,186.10000000000002,1734.733997670515
32,186.20000000000002,1701.2689669891445
32,186.3,2255.0104402852726
32,186.4,2084.0433911271693
32,186.5,1778.3069706221554
32,186.60000000000002,1738.7499911949437
32,186.70000000000002,1795.0939763576291
32,186.8,1753.0557956779894
32,186.9,1722.1135200200165
32,187.0,1725.8229301488811
32,187.10000000000002,1946.9024651596574
32,187.20000000000002,2062.410315173625
32,187.3,1929.9326910213656
32,187.4,1803.412195046138
32,187.5,1740.2442288886189
32,187.60000000000002,1745.7960672334705
32,187.70000000000002,1732.490319492934
32,187.8,1718.5988174898491
32,187.9,1732.845912913727
32,188.0,1747.474396850814
32,188.10000000000002,1739.7175338019638
32,188.20000000000002,1749.680595595083
32,188.3,1791.5068529902126
32,188.4,2382.168682889974
32,188.5,2684.690251634026
32,188.60000000000002,2333.2794187459913
32,188.70000000000002,1871.2436402850133
32,188.8,1721.113522514309
32,188.9,1717.9426453532092
32,189.0,1716.9594409072063
32,189.10000000000002,1718.841131553815
32,189.20000000000002,1720.9248785811646
32,189.3,1721.706961997012
32,189.4,1728.2438825433444
32,189.5,1720.2123356240932
32,189.60000000000002,1712.0894707187003
32,189.70000000000002,1713.8698809520754
32,189.8,1717.625425241738
32,189.9,1776.7093866882765
32,190.0,2078.5905066587875
32,190.10000000000002,2131.9894699110605
32,190.20000000000002,1978.5940371300046
32,190.3,1990.9219524212003
32,190.4,1870.2953874974244
32,190.5,1731.1910454941883
32,190.60000000000002,1736.2169136323353
32,190.70000000000002,1725.9272495498637
32,190.8,1725.9489796214557
32,190.9,1715.1391667613457
32,191.0,1706.3836902001806
32,191.10000000000002,1707.593895663197
32,191.20000000000002,1705.4371929869035
32,191.3,1780.9333887050832
32,191.4,1786.2967838196782
32,191.5,1747.2291760048038
32,191.60000000000002,1723.3370014526063
32,191.70000000000002,1766.1570650850713
32,191.8,1751.9777500172675
32,191.9,1724.2773540359053
32,192.0,1733.5835032181042
32,192.10000000000002,1721.900908090121
32,192.20000000000002,1955.8071808583347
32,192.3,1859.1684310801647
32,192.4,1724.9365209655214
32,192.5,1723.7414513210442
32,192.60000000000002,1724.133024205426
32,192.70000000000002,1732.5749852046206
32,192.8,1736.3066872922411
32,192.9,1791.0474324007514
32,193.0,1952.0517098263113
32,193.10000000000002,1851.603941162641
32,193.20000000000002,1744.5925078162907
32,193.3,1746.4000834696744
32,193.4,1752.9048666960562
32,193.5,1733.6463239185914
32,193.60000000000002,1748.764075864101
32,193.70000000000002,1799.0970404885786
32,193.8,1775.500601428771
32,193.9,1755.3461688166617
32,194.0,1743.666095396728
32,194.10000000000002,1726.6869866990705
32,194.20000000000002,2280.9794565259135
32,194.3,2706.615613640765
32,194.4,2416.2782542790587
32,194.5,1910.7201166698042
32,194.60000000000002,1775.2608480794154
32,194.70000000000002,1761.1264750092212
32,194.8,1732.7649025077442
32,194.9,1725.2663992431746
32,195.0,1731.1112467981175
