timestamp	relative_time_s	power_total_W	max_num_seqs	num_gpus	folder_name
1763561249	8.965205431	4571.925	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561249	9.065263748	4615.747	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561249	9.165322065	4634.468	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561249	9.265393972	4772.481	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.365451574	4867.934	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.465511799	5105.365	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.565571547	5001.897	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.665627241	4815.299	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.76568532	4707.082	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.865741253	4831.087	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	9.965796709	4842.67	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	10.06585145	4874.795	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	10.16590858	4801.83	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561250	10.26596618	4869.367	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.36602235	4739.048	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.46607947	4688.417	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.56613636	4872.318	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.66619444	4758.932	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.7662518	4804.949	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.86630917	4777.835	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	10.96636462	4768.501	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	11.1664772	4785.43	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561251	11.26653242	4919.784	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	11.36658931	5296.812	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	11.5666883	5365.89	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	11.66674733	5432.153	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	11.76680374	5504.372	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	11.86686468	5586.322	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	11.966923	5071.323	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	12.06698203	5193.241	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	12.1670475	5303.473	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561252	12.2671051	5137.86	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.36716461	5187.842	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.46722102	4806.169	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.56727624	5422.218	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.66733408	5236.545	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.76739097	5386.536	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.86744833	5311.423	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	12.96750712	4593.065	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	13.06756616	4604.059	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	13.16762352	4986.34	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561253	13.26767969	5219.253	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.36773825	4642.535	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.46779752	4693.038	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.56785321	4608.081	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.66790915	4607.309	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.76796556	4595.2	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.86802149	4572.351	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	13.96807694	4616.454	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	14.06813693	4523.512	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	14.1681962	4499.49	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561254	14.26825452	4608.188	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	14.3683269	5349.529	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	14.46838641	4999.753	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	14.56844616	4830.725	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	14.66850662	4736.628	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	14.76856589	4786.94	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	14.9686892	4744.907	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	15.06874824	4730.452	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	15.16880679	4721.266	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561255	15.26886487	4613.507	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.36892319	4611.433	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.46898222	4544.854	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.56904173	4515.591	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.66910076	4591.38	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.76916122	4849.579	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.86922002	4725.917	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
1763561256	15.96928	4731.082	512	8	num_gpus+8+max_num_seqs+512+num_request_repeats+1+dataset_split+train+num_requests+1024+seed+48105
